review_id,product_category,rating,text,true_sentiment,is_mismatch,is_templated_fake
108,coffee maker,3,"Average product, matches the description. (coffee maker)",neutral,False,False
120,running shoes,5,"My whole family uses this now, no complaints. (running shoes)",positive,False,False
106,yoga mat,4,"Works exactly as described, very happy with this purchase. (yoga mat)",positive,False,False
84,backpack,2,"Broke after two days, complete waste of money. (backpack)",negative,False,False
21,backpack,5,Shipped fast and the packaging was solid. (backpack),positive,False,False
185,coffee maker,5,"I love this product so much, changed my life, would recommend to everyone 10/10",positive,False,True
82,backpack,1,"Cheaply made, nothing like the pictures. (backpack)",negative,False,False
132,desk lamp,1,Smells like chemicals and gave me a headache. (desk lamp),negative,False,False
152,backpack,4,Simple to set up and does the job well. (backpack),positive,False,False
49,wireless earbuds,2,"Stopped working within a week, do not buy this. (wireless earbuds)",negative,False,False
64,wireless earbuds,3,"Ok for the price, wouldn't expect more. (wireless earbuds)",neutral,False,False
103,kitchen blender,3,"Ok for the price, wouldn't expect more. (kitchen blender)",neutral,False,False
89,phone case,5,"Sturdy build, feels like it'll last for years. (phone case)",positive,False,False
168,phone case,1,"My whole family uses this now, no complaints. (phone case)",positive,True,False
24,running shoes,1,"Cheaply made, nothing like the pictures. (running shoes)",negative,False,False
174,wireless earbuds,2,Better than the more expensive one I returned. (wireless earbuds),positive,True,False
44,backpack,5,"My whole family uses this now, no complaints. (backpack)",positive,False,False
56,phone case,3,"Does the job, no strong feelings either way. (phone case)",neutral,False,False
86,phone case,3,"Does the job, no strong feelings either way. (phone case)",neutral,False,False
30,backpack,3,"It's fine, does what it says, nothing special. (backpack)",neutral,False,False
53,wireless earbuds,5,Shipped fast and the packaging was solid. (wireless earbuds),positive,False,False
18,yoga mat,4,"Sturdy build, feels like it'll last for years. (yoga mat)",positive,False,False
200,desk lamp,5,"This item is the best thing I've bought this year, seriously highly recommend!!",positive,False,True
63,wireless earbuds,3,"It's fine, does what it says, nothing special. (wireless earbuds)",neutral,False,False
124,yoga mat,3,"It's fine, does what it says, nothing special. (yoga mat)",neutral,False,False
32,coffee maker,2,Arrived damaged and customer service ignored my emails. (coffee maker),negative,False,False
112,desk lamp,5,Better than the more expensive one I returned. (desk lamp),positive,False,False
59,running shoes,3,"Average product, matches the description. (running shoes)",neutral,False,False
167,kitchen blender,2,Shipped fast and the packaging was solid. (kitchen blender),positive,True,False
73,phone case,3,"Does the job, no strong feelings either way. (phone case)",neutral,False,False
109,backpack,3,"It's fine, does what it says, nothing special. (backpack)",neutral,False,False
178,backpack,4,"Cheaply made, nothing like the pictures. (backpack)",negative,True,False
17,phone case,4,"My whole family uses this now, no complaints. (phone case)",positive,False,False
66,wireless earbuds,5,"Great quality for the price, would buy again. (wireless earbuds)",positive,False,False
144,coffee maker,1,Smells like chemicals and gave me a headache. (coffee maker),negative,False,False
81,kitchen blender,2,"Stopped working within a week, do not buy this. (kitchen blender)",negative,False,False
76,yoga mat,3,"Average product, matches the description. (yoga mat)",neutral,False,False
114,desk lamp,3,"Does the job, no strong feelings either way. (desk lamp)",neutral,False,False
101,desk lamp,3,"Ok for the price, wouldn't expect more. (desk lamp)",neutral,False,False
107,phone case,5,"Works exactly as described, very happy with this purchase. (phone case)",positive,False,False
27,yoga mat,3,"Ok for the price, wouldn't expect more. (yoga mat)",neutral,False,False
